Station,Fee,Category,Partner,Network,Total,Special Fee,Notes
2BR FM (Burnley) ,40,Local & Regional,,ILR FM,,,
107.3 Abbey FM,40,Local & Regional,,ILR FM,,,
Absolute Radio 105.8 FM (London) (Prev. Virgin),55,Local & Regional,,ILR FM,,,
96.3 FM Radio Aire / ,40,Local & Regional,Magic 828 AM (Leeds),ILR FM,,60,
Alpha 103.2 FM,40,Local & Regional,,ILR FM,,,
Andover 106.4 FM,40,Local & Regional,,ILR FM,,,
"Argyll FM (Kintyre, Islay & Jura) ",40,Local & Regional,,ILR FM,,,
107.8 Arrow FM (Hastings) ,40,Local & Regional,,ILR FM,,,
Asian Sound Radio AM,40,Local & Regional,,ILR AM,,,
Ashbourne 96.7 FM (Derby),40,Local & Regional,,ILR FM,,,
Atlantic FM (Cornwall),40,Local & Regional,,ILR FM,,,
Bath FM ,40,Local & Regional,,ILR FM,,,
The Bay FM,40,Local & Regional,,ILR FM,,,
107.4 BCRFM (Bridgwater) ,40,Local & Regional,,ILR FM,,,
103.4 FM The Beach ,40,Local & Regional,,ILR FM,,,
Beacon 97.2 FM & 103.12/ ,40,Local & Regional,Gold (Wolverhampton / Shrewsbury / Telford),ILR FM,,60,
The Bear 102 FM ,40,Local & Regional,,ILR FM,,,
Beat 106 FM ,40,Local & Regional,,ILR FM,,,
107 The Bee (Blackburn) ,40,Local & Regional,,ILR FM,,,
Radio Borders FM,40,Local & Regional,,ILR FM,,,
106.3 Bridge FM (Bridgend) ,40,Local & Regional,,ILR FM,,,
Bright 106.4 FM (Haywards Heath & Burgess Hill) ,40,Local & Regional,,ILR FM,,,
96.4 FM BRMB/ ,50,Local & Regional,Gold 1152 AM (Birmingham),ILR FM,,75,
Brunel FM (Swindon),40,Local & Regional,,ILR FM,,,
95.8 Capital FM (Greater London)/ ,55,Local & Regional,Gold 1548 55 AM (London),ILR FM,,82.5,
97.1 Radio Carmarthenshire FM,40,Local & Regional,,ILR FM,,,
Q97.2 FM Causeway Coast Radio (Coleraine) ,40,Local & Regional,,ILR FM,,,
Central 103 FM ,40,Local & Regional,,ILR FM,,,
Central Radio 106.5 FM,40,Local & Regional,,ILR FM,,,
Centre FM (Staffs) ,40,Local & Regional,,ILR FM,,,
Century 100-102 FM (The North East) (Now Real Radio North East),40,Local & Regional,,ILR FM,,,
Century 105.4 FM (The North West) (Now Real Radio North West),40,Local & Regional,,ILR FM,,,
Century 106 FM (East Midlands) ,50,Local & Regional,,ILR FM,,,
Radio Ceredigion FM,40,Local & Regional,,ILR FM,,,
CFM Radio,40,Local & Regional,,ILR FM,,,
Channel 103 FM ,40,Local & Regional,,ILR FM,,,
Chester's Dee 106.3 (prev. Chester FM) ,40,Local & Regional,,ILR FM,,,
Choice FM (107.1 & 96.9) (London) ,55,Local & Regional,,ILR FM,,,
City Beat 96.7 - 102.5 FM,40,Local & Regional,,ILR FM,,,
CityTalk 105.9 FM (Liverpool),50,Local & Regional,,ILR FM,,,
Classic Hits 954 & 1530 AM (Hereford & Worcester) ,40,Local & Regional,,ILR AM,,,
Club Asia 963 & 972 AM (prev. Liberty Radio) ,55,Local & Regional,,ILR AM,,,
Clyde 1 102.5 FM/ ,50,Local & Regional,Clyde 2 AM,ILR FM,,75,
Clyde 2 AM,50,Local & Regional,Clyde 1 102.5 FM/ ,ILR AM,,75,
The Coast (prev Original 106 FM),40,Local & Regional,,ILR FM,,,
Compass FM ,40,Local & Regional,,ILR FM,,,
Connect FM ,40,Local & Regional,,ILR FM,,,
Cool FM ,40,Local & Regional,,ILR FM,,,
County Sound Radio 1566 AM (Guildford) ,40,Local & Regional,96.4 FM The Eagle/ ,ILR AM,,60,
Crown FM ,40,Local & Regional,,ILR FM,,,
CTR 105.6 FM (Maidstone) ,40,Local & Regional,,ILR FM,,,
Cuillin FM ,40,Local & Regional,,ILR FM,,,
Dearne FM (Barnsley) ,40,Local & Regional,,ILR FM,,,
Delta FM ,40,Local & Regional,,ILR FM,,,
Derby’s RAM FM/ ,40,Local & Regional,Gold (Nottinghamshire & Derby),ILR FM,,60,
Downtown Radio (DTR) FM,40,Local & Regional,,ILR FM,,,
Dream 100 FM (Colchester) ,40,Local & Regional,,ILR FM,,,
Dream 107.7 FM (Chelmsford) ,40,Local & Regional,,ILR FM,,,
Dune 107.9 FM ,40,Local & Regional,,ILR FM,,,
Dunedin FM (Edinburgh) ,40,Local & Regional,,ILR FM,,,
Durham FM,40,Local & Regional,,ILR FM,,,
96.4 FM The Eagle/ ,40,Local & Regional,County Sound Radio 1566 AM (Guildford) ,ILR FM,,60,
107 the edge (prev Clan FM) ,40,Local & Regional,,ILR FM,,,
Energy 98.6 FM (Douglas) ,40,Local & Regional,,ILR FM,,,
Exeter FM,40,Local & Regional,,ILR FM,,,
Fen Radio 107.5 FM (Wisbech) (prev. Star 107.1),40,Local & Regional,,ILR FM,,,
Fire Radio 107.6 FM ,40,Local & Regional,,ILR FM,,,
Five FM (Newry & surrounding areas),40,Local & Regional,,ILR FM,,,
Forth One 97.3 FM,40,Local & Regional,Forth 2 1548 AM,ILR FM,,60,
Forth 2 1548 AM,40,Local & Regional,Forth One 97.3 FM,ILR AM,,60,
Fresh Radio AM,40,Local & Regional,,ILR AM,,,
Galaxy 102.2 FM (Birmingham) ,50,Local & Regional,,ILR FM,Total GalaXY,,
Galaxy 102 FM (Manchester) ,50,Local & Regional,,ILR FM,Total GalaXY,,
Galaxy 105-106 FM (North East) ,50,Local & Regional,,ILR FM,Total GalaXY,,
Galaxy FM (Scotland) (Prev. XFM) ,40,Local & Regional,,ILR FM,Total GalaXY,,
Galaxy (South Coast) (Prev. Power FM) ,40,Local & Regional,Gold (Wolverhampton / Shrewsbury / Telford),ILR FM,Total GalaXY,60,
Galaxy 105 FM (Yorks) ,50,Local & Regional,,ILR FM,Total GalaXY,,
Gold (Bedford) (prev. Classic Gold 792 AM Bedford),40,Local & Regional,Heart 96.9 FM (Bedford) (prev. 96.9 Chiltern FM),ILR AM,Total Gold,60,
Gold (Berkshire),40,Local & Regional,Heart 102.9 and 97.0 FM / (Berkshire) (prev. 2Ten),ILR AM,Total Gold,60,
Gold (Bristol & Bath) (prev Classic Gold Bath),40,Local & Regional,Heart 96.3 FM / (Bristol) (prev. GWR Bristol),ILR AM,Total Gold,60,
Gold 1359 & 1305 AM (Cardiff & Newport) ,40,Local & Regional,Red Dragon FM/ ,ILR AM,Total Gold,60,
Gold 1359 AM (Coventry and Warwickshire) ,40,Local & Regional,,ILR AM,Total Gold,,
Gold (Dorset) (prev. Classic Gold 828 AM Bournemouth),40,Local & Regional,,ILR AM,Total Gold,,
Gold (East Devon and Exeter),40,Local & Regional,Heart 97.0 and 103.0 FM / (East Devon and Exeter) (prev. Gemini Exeter),ILR AM,Total Gold,60,
Gold (East of England) (prev. Gold Luton),40,Local & Regional,Heart 97.6 FM / (Dunstable) (prev. 97.9 Chiltern FM),ILR AM,Total Gold,60,
Gold (Essex) (prev. Classic Gold Breeze 1359/1431 AM),40,Local & Regional,Heart 96.3 and 102.6 FM / (Essex) (prev Essex FM),ILR AM,Total Gold,60,
Gold (Gloucestershire) (prev. Classic Gold 774 AM),40,Local & Regional,Heart 102.4 FM / (Gloucestershire) (prev. Severn Sound),ILR AM,Total Gold,60,
Gold (Hampshire) (prev. Capital Gold 1170 & 1557 AM S.Hants),40,Local & Regional,Heart 97.5 and 96.7 FM / (Hampshire) (prev. Ocean),ILR AM,Total Gold,60,
Gold (Kent) (prev. Capital Gold 1242 & 603 AM),40,Local & Regional,Heart 103.1 and 102.8 FM / (Kent) (prev. Invicta),ILR AM,Total Gold,60,
Gold 1548 55 AM (London),55,Local & Regional,95.8 Capital FM (Greater London)/ ,ILR AM,Total Gold,82.5,
